transaction_id,customer_id,product_id,product_name,quantity_sold,unit_price,transaction_date,store_id,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,promotion_type,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand,sales,age_group,category_Electronics,payment_method_Credit Card,payment_method_Debit Card,payment_method_Digital Wallet,"store_location_Dallas, TX","store_location_Los Angeles, CA","store_location_Miami, FL","store_location_New York, NY",promotion_applied_True,sales_per_unit,revenue_per_product,month,quarter,season,sales_category
11,1520,327,Tablet,0.012118374306065063,-1.5516297912293582,2024-04-03 11:37:00,12,0.8670622855083409,135,167,104,9,67,1,101268.72,Platinum,BOGO,Stormy,False,Sunday,True,303,181,-1.091157319228694,60+,True,False,False,False,False,True,False,False,False,-90.0415593436973,-0.01880323059455895,4,2,2,
12,1488,319,Smartphone,0.012118374306065063,0.09529428497621516,2024-06-19 10:41:00,9,1.1050389247175285,60,115,290,8,25,0,52253.32,Silver,BOGO,Cloudy,True,Monday,True,270,185,0.07492994186148895,18-30,False,False,True,False,False,False,True,False,True,6.183167805271343,0.0011548118145706077,6,2,3,Low
13,2535,976,Headphones,-0.6924382713953969,0.2539372780257173,2024-03-01 04:08:00,3,0.6500835850529051,144,297,300,3,49,0,22027.62,Bronze,BOGO,Sunny,True,Thursday,False,141,127,-0.3043600114907788,40-50,False,False,False,True,False,False,False,True,False,0.43954822265591204,-0.17583588983898,3,1,2,
14,4582,422,Washing Machine,0.012118374306065063,-0.43837666899970407,2024-06-24 17:34:00,13,-0.9457597602322357,94,188,410,5,30,0,65337.53,Gold,BOGO,Rainy,True,Thursday,False,273,446,-0.3029301611245134,18-30,False,False,False,True,False,False,True,False,False,-24.997590722453705,-0.0053124125619844025,6,2,3,
15,4811,122,TV,-0.6924382713953969,-1.1150711527013375,2024-07-11 11:58:00,9,-1.5546999840910394,104,274,427,5,54,1,81043.27,Bronze,BOGO,Stormy,False,Saturday,True,221,244,-0.950568020088991,50-60,False,False,False,True,False,True,False,False,False,1.3727837691198275,0.7721179414593868,7,3,3,
16,9279,890,Camera,0.716675020007527,-0.6865009582302197,2024-05-02 19:28:00,17,0.034144048276184044,113,239,252,8,20,1,55162.4,Silver,BOGO,Sunny,True,Friday,False,433,294,-0.20895229678598803,18-30,False,False,True,False,True,False,False,False,True,-0.29155794600430396,-0.4919980879748292,5,2,2,
17,1434,941,Laptop,0.012118374306065063,-1.0107031140160732,2024-03-01 14:26:00,16,1.1470348022250323,65,116,165,9,68,0,84105.52,Silver,BOGO,Sunny,True,Friday,False,415,191,-0.7081598777585875,60+,False,False,True,False,False,False,True,False,False,-58.43687114072423,-0.01224807864795233,3,1,2,
18,4257,806,Laptop,1.421231665708989,0.3189171048509952,2024-06-26 04:41:00,20,-0.434809917224274,58,184,153,4,43,2,28754.82,Platinum,BOGO,Sunny,False,Tuesday,True,348,418,1.2471668248809198,40-50,True,False,True,False,False,False,False,True,False,0.8775253570351348,0.4532550881504682,6,2,3,Low
19,9928,942,TV,0.716675020007527,-0.667789770472776,2024-06-02 20:20:00,5,-0.7287810597768,108,125,157,10,44,1,65975.21,Bronze,BOGO,Sunny,False,Monday,True,172,477,-0.1912879506682312,40-50,True,False,False,False,False,False,True,False,False,-0.2669103084773656,-0.4785882471143986,6,2,3,
20,7873,382,TV,0.012118374306065063,0.23681663058385388,2024-07-21 20:20:00,3,-0.7637776243663863,106,254,478,1,38,2,106725.94,Platinum,Percentage Discount,Rainy,False,Thursday,True,362,451,0.17513334938764777,30-40,False,False,False,True,False,False,True,False,True,14.451884796131125,0.002869832571316277,7,3,3,Low
21,4611,666,Headphones,0.716675020007527,-1.5424082316468932,2024-05-18 14:04:00,2,-1.4637089161581147,90,294,360,8,21,1,77489.83,Silver,BOGO,Sunny,False,Saturday,True,130,157,-1.0169738140904154,18-30,True,True,False,False,False,True,False,False,False,-1.419016689153941,-1.1054054502753117,5,2,2,
22,8359,623,Smartphone,0.716675020007527,-0.4315677267498605,2024-02-06 09:06:00,9,0.11813580329119146,76,157,346,2,65,2,86773.84,Gold,BOGO,Rainy,True,Wednesday,True,315,507,0.03171809229691875,60+,True,True,False,False,True,False,False,False,False,0.04425728734983064,-0.3092938092030592,2,1,1,Low
23,5557,669,TV,1.421231665708989,-0.8189447141714004,2024-03-03 11:00:00,13,0.5520932042020631,124,257,257,3,43,0,90816.55,Bronze,BOGO,Sunny,False,Monday,False,434,364,-0.09558498662527345,40-50,False,False,False,False,False,False,False,False,False,-0.06725503584779079,-1.1639101602453912,3,1,2,
24,1106,684,Headphones,1.421231665708989,0.8577171045636732,2024-01-30 09:19:00,14,-0.6937844951872135,120,165,466,2,50,0,57698.63,Gold,BOGO,Stormy,True,Tuesday,True,146,330,1.8829862746233448,40-50,True,False,True,False,False,False,False,False,False,1.3248974956408723,1.2190147092261203,1,1,1,Low
25,3615,685,Smartphone,0.716675020007527,-0.9946547409442635,2024-08-03 04:57:00,5,-0.8827659439709802,148,139,400,3,51,1,44320.68,Gold,Percentage Discount,Rainy,True,Friday,True,280,506,-0.49986568752952565,50-60,True,False,False,True,True,False,False,False,True,-0.6974788761638095,-0.7128442063668117,8,3,3,
26,7924,258,Camera,-1.396994917096859,0.6300553845616894,2024-07-17 15:17:00,15,-0.27382572011217643,142,226,434,6,58,0,110254.19,Platinum,BOGO,Cloudy,False,Tuesday,False,392,369,-0.7072066441810773,50-60,True,False,False,True,True,False,False,False,True,0.5062342285759683,-0.8801841697221869,7,3,3,
27,6574,196,TV,0.716675020007527,-0.624988151868117,2024-04-15 01:23:00,11,0.5660918300378976,150,243,110,8,64,1,23520.55,Gold,BOGO,Cloudy,False,Wednesday,True,483,445,-0.1508809698162464,60+,False,False,False,False,True,False,False,False,True,-0.2105291318995069,-0.44791339624455007,4,2,2,
28,5552,138,Smartphone,-0.6924382713953969,1.5324993656387103,2024-07-27 03:42:00,1,1.1050389247175285,106,244,113,10,50,1,45558.46,Gold,BOGO,Stormy,False,Wednesday,False,495,153,0.29915494280849936,40-50,False,False,True,False,False,False,True,False,True,-0.43203120793084465,-1.061161211657411,7,3,3,Low
29,3547,571,TV,0.012118374306065063,1.459084313769007,2024-07-15 17:29:00,4,1.3220176251729643,71,123,243,9,41,0,77669.59,Bronze,BOGO,Cloudy,True,Monday,True,154,128,1.040547120184033,40-50,True,False,True,False,False,False,True,False,True,85.86524016371197,0.01768172985836091,7,3,3,Low
30,4527,464,Laptop,-0.6924382713953969,0.2938080133522284,2024-02-06 06:57:00,12,-0.23182984260467276,85,280,231,10,47,0,111298.17,Bronze,BOGO,Stormy,False,Tuesday,True,297,306,-0.2855399751064828,40-50,True,False,False,True,False,False,False,True,True,0.4123688520726398,-0.20344391288773273,2,1,1,
31,6514,259,Smartphone,-1.396994917096859,-0.6269182457342144,2024-07-31 10:27:00,6,-1.5826972357627085,131,260,399,7,63,1,116645.94,Platinum,BOGO,Rainy,False,Monday,True,386,156,-1.003868961323493,60+,True,False,False,True,False,False,False,False,False,0.7185917064105474,0.8758016027259771,7,3,3,
32,2674,241,Headphones,-0.6924382713953969,-0.1358344554889432,2024-06-13 23:45:00,13,0.6080877075454013,90,118,135,10,45,2,60397.59,Gold,BOGO,Rainy,False,Monday,False,316,255,-0.4883425276456402,40-50,True,False,True,False,False,False,False,False,True,0.7052506307335318,0.09405697555469883,6,2,3,
33,2519,371,Tablet,0.012118374306065063,0.25599247056832114,2024-05-02 07:21:00,19,-1.1277418960980852,120,259,127,2,67,1,71524.97,Silver,BOGO,Stormy,False,Thursday,False,312,415,0.18871060109563723,60+,False,False,False,False,False,False,False,True,False,15.572270366429466,0.00310221257788126,5,2,2,Low
34,7224,475,Laptop,0.012118374306065063,0.8228681875369154,2024-05-08 09:01:00,15,0.6500835850529051,61,275,436,1,20,0,53675.06,Gold,BOGO,Stormy,False,Sunday,False,158,398,0.5900809870951014,18-30,True,False,False,False,False,True,False,False,True,48.69308144738315,0.009971824701125682,5,2,2,Low
35,2584,696,Smartphone,0.012118374306065063,0.9034853489254816,2024-02-14 07:00:00,9,-1.715684181203137,141,141,498,3,29,2,46591.75,Bronze,Percentage Discount,Cloudy,False,Friday,False,451,367,0.6471611198581394,18-30,True,False,True,False,False,False,False,True,False,53.403295154387585,0.010948773638324786,2,1,1,Low
36,6881,355,Fridge,-1.396994917096859,1.5096241790775564,2024-08-28 12:57:00,9,0.4821000750228902,125,211,470,5,47,0,46110.47,Bronze,BOGO,Sunny,True,Sunday,True,165,421,-0.49961683451592775,40-50,True,True,False,False,False,False,False,True,False,0.3576368306007855,-2.108937304897865,8,3,3,
37,6635,338,Tablet,1.421231665708989,0.48095563340566844,2024-04-21 07:24:00,6,0.39110900708996554,150,236,131,2,30,1,84317.95,Bronze,Percentage Discount,Stormy,False,Saturday,True,373,208,1.4383829498208702,18-30,True,True,False,False,False,False,False,True,True,1.0120679017543035,0.68354937599726,4,2,2,Low
38,5333,362,Camera,-1.396994917096859,0.112575773573587,2024-03-30 22:38:00,2,1.5179983868746483,120,252,324,10,25,2,99864.97,Platinum,BOGO,Stormy,False,Thursday,False,279,423,-0.8293386418376606,18-30,False,False,False,False,False,False,False,True,False,0.593659026019319,-0.15726778347054793,3,1,2,
39,1711,930,TV,1.421231665708989,-0.22472600076642707,2024-01-28 23:03:00,8,-1.0647480798368296,108,113,186,9,45,1,102848.17,Gold,BOGO,Rainy,True,Tuesday,False,441,481,0.6056321915211209,40-50,False,False,False,True,False,False,False,True,True,0.4261319291805943,-0.31938770839738867,1,1,1,Low
40,8527,407,Headphones,0.012118374306065063,0.8516408831333665,2024-02-25 02:52:00,13,-1.4637089161581147,135,105,457,3,19,1,52485.34,Gold,BOGO,Stormy,False,Monday,True,290,505,0.6104531914286173,18-30,False,False,True,False,True,False,False,False,False,50.37418188371147,0.010320502996157948,2,1,1,Low
41,9785,194,Washing Machine,1.421231665708989,-0.6930418318875498,2024-06-01 22:32:00,2,-0.9807563248218222,54,259,198,8,33,2,35558.79,Bronze,Percentage Discount,Rainy,True,Monday,True,449,385,0.05298869818799998,30-40,True,False,True,False,False,False,True,False,False,0.03728364591536615,-0.9849729971395514,6,2,3,Low
42,3045,684,TV,0.012118374306065063,0.7641969082554556,2024-02-13 13:55:00,16,-0.08484427132840978,114,228,452,3,40,0,52420.13,Gold,BOGO,Sunny,True,Friday,False,472,142,0.5485394052150178,30-40,False,False,False,True,False,False,False,True,False,45.26509838373965,0.009260824177777275,2,1,1,Low
43,7201,509,Camera,1.421231665708989,0.28410393030323916,2024-04-11 02:53:00,18,1.4900011352029792,135,209,136,5,21,1,60290.79,Silver,BOGO,Stormy,True,Saturday,True,129,201,1.2060849883988396,18-30,True,False,False,True,False,True,False,False,False,0.8486195583020434,0.4037775020993431,4,2,2,Low
44,2291,682,Camera,-1.396994917096859,-0.24229342919581326,2024-06-27 11:57:00,11,0.20912687122411613,114,273,474,5,27,1,40580.96,Gold,Percentage Discount,Rainy,True,Thursday,True,182,268,-0.9130924433802349,18-30,True,False,True,False,False,True,False,False,False,0.6536118580000007,0.3384826890325188,6,2,3,
45,5803,322,Smartphone,0.012118374306065063,-0.3863713620520808,2024-03-06 22:28:00,10,0.16013168079869516,88,112,250,10,62,0,106546.53,Platinum,Percentage Discount,Cloudy,True,Thursday,True,389,119,-0.2661083508074124,60+,True,False,True,False,False,False,True,False,True,-21.959079995922323,-0.004682192786491297,3,1,2,
46,6925,851,Fridge,-0.6924382713953969,-1.310868452673214,2024-04-26 20:53:00,18,-1.6036951745164605,50,263,391,6,37,1,67684.91,Bronze,BOGO,Cloudy,False,Saturday,True,248,348,-1.0429894986306076,30-40,False,False,False,False,False,False,False,True,False,1.5062562855296577,0.9076954853957989,4,2,2,
47,4150,179,Tablet,0.716675020007527,-0.920578453213027,2024-08-06 05:40:00,7,0.846064346754589,113,208,188,3,39,0,44829.51,Gold,BOGO,Cloudy,True,Wednesday,True,119,214,-0.42993377286085055,30-40,True,False,False,False,False,True,False,False,True,-0.5999005977023381,-0.6597555813749444,8,3,3,
48,2139,840,Tablet,1.421231665708989,1.3308581703500393,2024-09-06 23:19:00,7,-1.2047343381951752,92,233,115,1,18,1,113713.11,Bronze,BOGO,Cloudy,True,Wednesday,True,311,170,2.4413238623353997,18-30,True,False,True,False,False,True,False,False,False,1.7177522294491885,1.8914577742690037,9,3,4,Low
49,1750,432,Smartphone,-0.6924382713953969,0.7467009647840731,2024-06-21 16:04:00,1,0.6780808367245742,141,118,245,8,43,0,24183.49,Silver,BOGO,Cloudy,True,Sunday,True,177,418,-0.07176258288289267,40-50,True,True,False,False,True,False,False,False,True,0.10363751665296778,-0.5170443253043587,6,2,3,
50,4733,911,Smartphone,0.012118374306065063,-0.015042747702350433,2024-07-23 05:50:00,19,1.4830018222850618,90,174,391,7,70,2,92852.3,Platinum,BOGO,Stormy,True,Wednesday,False,484,192,-0.0031930330174736524,60+,False,True,False,False,True,False,False,False,True,-0.263486911431312,-0.00018229364724878277,7,3,3,
51,5741,594,TV,0.012118374306065063,0.4460173601814062,2024-01-21 05:04:00,12,-1.5337020453372876,147,178,407,10,30,1,47241.6,Platinum,BOGO,Sunny,False,Monday,False,422,490,0.32325572449829476,18-30,False,False,False,False,False,False,False,False,False,26.67484237852846,0.00540500531768132,1,1,1,Low
52,2307,277,TV,1.421231665708989,0.21031358240401715,2024-07-21 23:28:00,17,-1.6596896778597987,75,120,206,10,26,0,29909.45,Bronze,BOGO,Stormy,False,Wednesday,True,357,164,1.1190075228780434,18-30,True,False,False,True,False,True,False,False,True,0.7873505424042325,0.298904323041286,7,3,3,Low
53,4814,599,Fridge,0.716675020007527,-0.3597253439562368,2024-05-25 12:08:00,16,0.3071172520749581,138,209,108,2,65,1,86761.58,Bronze,Percentage Discount,Sunny,True,Saturday,False,411,206,0.09954108312154432,60+,False,True,False,False,False,False,False,False,False,0.13889291567675802,-0.25780616807705053,5,2,2,Low
54,2654,945,Camera,0.716675020007527,1.587828723133501,2024-04-03 17:35:00,5,-0.9107631956426493,120,263,465,6,47,2,101221.71,Gold,BOGO,Stormy,False,Monday,False,451,435,1.9381346331452343,40-50,False,False,True,False,False,False,True,False,True,2.704342385374167,1.137957181920228,4,2,2,Low
55,7227,806,Camera,0.012118374306065063,-0.43546365696105716,2024-03-17 15:38:00,8,1.559994264382152,50,209,312,3,68,2,35157.7,Silver,BOGO,Sunny,True,Wednesday,False,369,258,-0.3008676336050332,60+,True,True,False,False,True,False,False,False,False,-24.827392355297484,-0.005277111591742006,3,1,2,
56,5554,819,Fridge,0.716675020007527,-0.10631116783345404,2024-05-21 08:02:00,18,-0.28782434594801104,96,284,248,9,21,2,48442.51,Silver,BOGO,Cloudy,False,Sunday,False,171,392,0.3387774039904977,18-30,True,False,True,False,False,False,False,True,True,0.4727071469394031,-0.07619055833406424,5,2,2,Low
57,8428,690,TV,-0.6924382713953969,0.950611807489359,2024-05-20 22:46:00,7,-0.0358490809029888,75,199,128,4,62,1,85217.95,Platinum,BOGO,Cloudy,True,Saturday,False,497,130,0.02448870135951778,60+,False,True,False,False,False,True,False,False,False,-0.03536589811849699,-0.6582399967459857,5,2,2,Low
58,6977,939,Laptop,-1.396994917096859,1.6426219434432647,2024-05-22 01:12:00,13,0.8250664080008372,144,124,235,2,62,1,56597.14,Silver,BOGO,Sunny,True,Sunday,True,235,463,-0.46822761202109797,60+,False,False,True,False,False,False,True,False,True,0.33516772773528564,-2.2947345057020048,5,2,2,
59,3664,197,TV,-0.6924382713953969,1.7236501433403522,2024-07-13 12:07:00,18,1.7209784614942496,100,126,143,2,61,1,94487.48,Silver,BOGO,Stormy,False,Saturday,False,490,300,0.3893831405523049,60+,True,False,False,True,False,False,True,False,False,-0.5623362495080213,-1.1935213257450217,7,3,3,Low
60,7065,709,Headphones,-1.396994917096859,0.6790404520336604,2024-07-08 13:47:00,1,0.8180670950829199,93,222,166,10,40,1,103118.84,Silver,BOGO,Sunny,True,Tuesday,False,117,415,-0.6956455236679989,30-40,False,True,False,False,False,False,False,True,True,0.4979585216484844,-0.948616059994177,7,3,3,
61,6820,757,Smartphone,0.716675020007527,1.2139623927746426,2024-02-23 07:27:00,14,1.5669935773000692,129,294,137,8,27,0,118178.0,Bronze,BOGO,Rainy,False,Friday,False,237,287,1.5851851386051425,18-30,True,True,False,False,False,False,False,True,False,2.211860458856922,0.8700165221301523,2,1,1,Low
62,4432,407,Camera,0.012118374306065063,1.0526923275185078,2024-05-23 12:54:00,2,-0.2948236588659283,130,219,130,8,35,0,110883.1,Silver,BOGO,Stormy,False,Thursday,True,177,427,0.7528055509019455,30-40,True,False,True,False,False,False,False,True,True,62.12100170277606,0.012756919653992114,5,2,2,Low
63,5374,138,TV,-0.6924382713953969,-1.4305878860897527,2024-07-18 23:38:00,3,0.01314610952243219,111,275,334,9,23,0,83341.85,Silver,BOGO,Sunny,False,Sunday,True,290,142,-1.0995002219557528,18-30,True,True,False,False,False,False,True,False,True,1.587867492852536,0.9905938029231834,7,3,3,
64,2169,848,Laptop,-0.6924382713953969,-0.8149594277626994,2024-08-09 23:16:00,9,1.5949908289717385,68,138,120,10,60,0,100745.24,Bronze,BOGO,Sunny,True,Wednesday,True,464,118,-0.8089073876365109,50-60,True,False,False,False,False,False,False,False,False,1.1682014427169172,0.5643090974173854,8,3,3,
65,3803,927,Headphones,0.012118374306065063,1.2417521701985443,2024-03-29 14:26:00,11,-0.13383946175383077,105,255,443,6,45,0,100375.5,Bronze,BOGO,Sunny,False,Monday,True,154,329,0.8866673829791311,40-50,False,False,True,False,False,False,False,True,True,73.16718897974354,0.01504801759383457,3,1,2,Low
66,9751,690,Smartphone,1.421231665708989,1.068115207207786,2024-05-13 18:13:00,15,1.0280464826204383,116,171,240,2,56,0,79297.4,Platinum,BOGO,Stormy,False,Tuesday,False,256,236,2.1312698787832702,50-60,False,False,True,False,False,False,False,False,False,1.4995935780252088,1.5180391551090235,5,2,2,Low
67,5010,490,Washing Machine,-1.396994917096859,-1.390306112254721,2024-04-01 02:35:00,20,-0.11284152300007892,77,141,450,7,70,1,21194.58,Gold,Percentage Discount,Stormy,False,Saturday,False,410,286,-1.1840385431683136,60+,True,True,False,False,False,True,False,False,False,0.8475610960911032,1.9422505720285401,4,2,2,
68,3677,180,TV,0.012118374306065063,-1.092875073241218,2024-06-22 22:55:00,5,-0.14783808758966535,129,100,205,7,34,1,20389.64,Bronze,BOGO,Rainy,False,Sunday,False,349,238,-0.7663408687682197,30-40,False,False,False,False,False,False,False,False,True,-63.23792692099613,-0.01324386920730535,6,2,3,
69,8573,898,Tablet,-0.6924382713953969,-1.6507258142618568,2024-06-12 02:03:00,8,-0.9177625085605666,97,204,138,6,67,2,28977.08,Bronze,BOGO,Sunny,False,Wednesday,False,235,475,-1.2034111175997504,60+,True,False,False,True,False,False,True,False,False,1.737932704347269,1.1430257293752393,6,2,3,
70,7216,157,Washing Machine,0.716675020007527,-0.48555674128208387,2024-03-18 05:57:00,5,1.2800217476654605,54,220,114,1,67,1,78767.52,Platinum,BOGO,Cloudy,False,Tuesday,True,309,219,-0.019250379166064948,60+,True,False,False,False,False,False,False,True,False,-0.026860681101823203,-0.3479863872731271,3,1,2,
71,5422,889,Tablet,-1.396994917096859,-0.036059325355410524,2024-03-23 21:42:00,13,-0.28082503303009376,148,112,278,2,58,2,33420.16,Gold,BOGO,Stormy,True,Wednesday,True,206,198,-0.8644184810595767,50-60,False,False,False,True,False,True,False,False,True,0.6187699543359493,0.050374694235450386,3,1,2,
72,4598,442,Smartphone,0.012118374306065063,-0.9834316025376976,2024-03-18 04:25:00,16,-0.5467989239109505,108,242,289,9,65,0,68810.22,Silver,BOGO,Rainy,True,Monday,True,488,404,-0.688850571042472,60+,True,False,False,False,False,False,True,False,False,-56.843480292378224,-0.011917592263965224,3,1,2,
73,6313,456,Fridge,-1.396994917096859,1.2235235059076248,2024-05-12 22:09:00,3,0.9650526663591829,144,107,104,1,38,2,92249.17,Silver,BOGO,Sunny,False,Friday,True,236,492,-0.5671403581546985,30-40,True,True,False,False,False,False,True,False,True,0.4059716690546674,-1.7092561187014805,5,2,2,
74,1916,936,Camera,0.012118374306065063,-1.2390796835980926,2024-09-13 07:47:00,9,1.6439860193971594,139,187,211,1,45,0,30211.0,Platinum,BOGO,Cloudy,True,Sunday,True,393,408,-0.869859504577224,40-50,False,False,True,False,False,False,False,True,True,-71.78021429341992,-0.015015631400882353,9,3,4,
75,4752,544,Washing Machine,1.421231665708989,0.7222531091468398,2024-01-08 06:33:00,18,-0.14083877467174805,53,289,145,6,37,1,69504.2,Silver,BOGO,Cloudy,False,Thursday,True,332,487,1.7231298472444072,30-40,True,False,False,True,False,True,False,False,True,1.2124201063201154,1.0264889893762594,1,1,1,Low
76,1525,526,Washing Machine,1.421231665708989,0.694856498991958,2024-01-17 16:44:00,11,-0.4208112913884394,94,232,286,5,42,2,85658.97,Gold,BOGO,Sunny,True,Sunday,True,260,161,1.6908000447151317,40-50,True,False,False,True,False,False,False,False,True,1.189672370458807,0.9875520594910568,1,1,1,Low
77,6168,988,Smartphone,-0.6924382713953969,-0.9984613149579555,2024-03-11 05:28:00,17,-0.6587879305976271,60,290,472,5,52,0,29772.04,Silver,BOGO,Rainy,False,Monday,True,217,95,-0.895525107759304,50-60,True,False,False,False,True,False,False,False,True,1.2932923334157251,0.6913728269846617,3,1,2,
78,7572,223,Camera,-0.6924382713953969,0.6391161029886463,2024-06-04 11:51:00,4,-0.49780373348552953,74,188,367,1,44,2,58641.91,Silver,Percentage Discount,Rainy,True,Wednesday,True,268,506,-0.1225454690476,40-50,False,False,False,True,False,False,True,False,True,0.1769767416244154,-0.44254844957442074,6,2,3,
79,5386,990,Camera,-0.6924382713953969,-1.006717827607372,2024-05-20 19:29:00,20,-0.5258009851571986,55,241,362,3,42,1,61610.34,Silver,BOGO,Sunny,False,Monday,True,224,308,-0.8994223990231073,40-50,True,False,False,True,False,False,False,True,True,1.298920692541441,0.6970899523313779,5,2,2,
80,2084,888,Washing Machine,0.716675020007527,1.7392338641851384,2024-06-20 02:36:00,15,-0.7077831210230481,102,139,333,8,47,1,61760.44,Platinum,BOGO,Cloudy,False,Thursday,True,334,152,2.0810690555995204,40-50,True,False,False,True,False,False,False,False,False,2.9037834408930054,1.2464654644126525,6,2,3,Low
81,4456,332,Washing Machine,-1.396994917096859,-0.3287723571406754,2024-05-04 15:09:00,1,-0.5887948014184542,127,171,381,8,43,1,43640.61,Platinum,BOGO,Rainy,True,Saturday,True,244,497,-0.933502608342944,40-50,False,False,False,True,False,False,False,False,True,0.6682219075520235,0.4592933118074767,5,2,2,
82,6155,865,Washing Machine,0.012118374306065063,-0.8368516961513036,2024-01-29 01:58:00,4,0.44010419751538654,103,273,262,7,67,2,24442.75,Bronze,BOGO,Rainy,True,Tuesday,False,390,124,-0.5850662108291175,60+,False,False,False,False,False,False,True,False,True,-48.27926552295886,-0.010141282092626925,1,1,1,
83,4483,768,Headphones,0.012118374306065063,-1.0913738891231421,2024-01-29 14:44:00,12,1.3990100672700545,107,102,119,1,58,0,23721.97,Silver,Percentage Discount,Cloudy,False,Tuesday,False,269,118,-0.765277971150819,50-60,True,False,True,False,False,False,True,False,False,-63.15021733301379,-0.013225677296260186,1,1,1,
84,9179,969,Fridge,0.012118374306065063,0.21417377013621158,2024-09-05 09:25:00,2,-1.568698609926874,73,165,298,2,60,1,46071.3,Gold,BOGO,Rainy,True,Wednesday,True,164,227,0.15910131032518485,50-60,True,False,False,False,False,False,False,False,True,13.128931844064022,0.0025954379130517513,9,3,4,Low
85,7482,716,Laptop,-0.6924382713953969,-1.274929390036901,2024-06-24 17:20:00,4,-1.0297515152472432,58,259,312,3,64,1,89027.25,Platinum,BOGO,Cloudy,True,Friday,True,290,476,-1.0260253152290753,60+,True,False,False,True,False,False,False,False,True,1.4817570859586313,0.8828099029883395,6,2,3,
